10000093,1,100006,10000602,9,
10000018,1,100018,10001801,18,
10000176,2,100014,10001403,14,
10000081,2,100016,10001603,16,
10000096,3,100004,10000403,9,
10000216,3,100018,10001801,18,
10000153,4,100013,10001303,13,
10000034,4,100018,10001801,18,


































































































































































































































































































































































































































































































































































































































































































































































































































