10000010,29,-20,1.03,
10000018,-7,-26,1.16,
10000023,17,-23,.95,
10000034,-13,-35,1.12,
10000050,-24,-88,1.11,
10000052,16,-43,1.08,
10000056,45,-16,.84,
10000057,45,-16,.84,
10000058,-3,-106,1.24,
10000061,-7,-8,.99,
10000068,-45,-70,1.07,
10000069,-45,-71,1.08,
10000076,-85,-26,1.06,
10000078,6,-29,.83,
10000079,-29,-15,.82,
10000084,-4,-17,.96,
10000087,-1,-18,1.08,
10000090,-67,-79,1.19,
10000093,-15,-74,1.15,
10000096,-14,-3,.97,
10000099,-7,16,.91,
10000111,-2,13,.66,
10000112,-19,57,.87,
10000117,70,-112,1.24,
10000119,-15,-41,1.08,
10000123,-23,20,1.12,
10000133,-44,-30,1.07,
10000142,115,47,1,
10000151,-29,18,.87,
10000153,-23,-14,.91,
10000156,-32,7,.91,
10000162,-25,-53,1.09,
10000164,-6,40,1.01,
10000166,19,18,.84,
10000171,16,12,.77,
10000176,63,35,.92,
10000184,-27,-21,.97,
10000187,26,-3,.81,
10000224,-8,20,.83,
10000225,-17,41,.83,
10000226,-5,21,.83,
10001008,4,35,.8,
10001014,9,-9,.87,
10001048,-19,-37,.92,
10002006,-10,-55,1,
10002011,17,44,.95,
10105001,11,-31,1.03,
10105022,-7,-19,1,
10107002,30,-67,1,
10107009,-78,-33,1.01,
10107018,-16,-29,.96,
10108019,-13,-39,1.02,
10109003,5,-9,.96,
10109014,-6,9,.94,
10110017,-13,26,.86,
10111001,57,-1,1,
10111003,-43,31,.8,
10111004,-43,32,.8,
10111005,39,-6,.89,
10111020,-16,10,.84,
10112002,-47,28,.89,
10113003,0,0,.93,
10113045,-40,4,.84,
10115001,-23,-50,1.01,
10115005,20,6,.95,
10115019,-18,-43,.95,
10117001,-30,-12,.93,
10117002,-66,24,.86,
10117007,-38,20,.79,
10117035,-7,12,.9,
10119016,-25,13,.77,
10119017,-24,1,.77,
10120049,37,-6,.89,
10122041,-52,51,.74,
10122053,-62,11,.93,
10125025,-15,-31,.79,
10126013,13,89,.77,
10128038,-20,17,.92,
10128040,71,20,.71,
10128042,-51,-3,.85,
10128043,-23,-13,.83,
10130010,-9,0,.77,
10130022,-25,-10,.72,
10131005,-24,-39,.88,
10132041,-70,-1,.81,
10132045,26,0,.82,
10133018,35,17,.86,
10134011,12,-14,.85,
10141032,85,-63,1.08,
10143023,-43,20,.89,
10143026,-54,9,.75,
10143035,6,41,.84,
10143049,11,14,.78,
10143050,-120,19,.75,
10143057,-8,-29,.8,
10143059,3,-21,.9,
10143062,-14,-25,.78,
10143063,-12,35,.8,
10143064,-15,12,.79,
10143072,-104,-25,.89,
10145001,0,-15,.83,
10145002,0,0,.84,
10145003,-10,-55,.88,
10145004,65,-20,.87,
10145005,-75,0,.8,
10145006,60,35,.8,
10145007,-7,-45,.83,
10145008,0,-10,.91,
10145009,50,5,.8,
10145010,-95,0,.82,
10145021,-85,5,.87,
10145025,-40,-30,.83,
10145028,3,-30,.83,
10145062,0,-91,.9,
10145063,0,-55,.87,
10145064,-15,-60,.85,
10145065,-10,-55,.84,
10145066,5,-42,.87,
10145067,0,-65,.88,
10145068,0,-90,.86,
10145069,-10,-55,.87,
10149001,-73,-14,1.08,
10149003,42,-27,1.08,
10149005,66,-35,1.01,
10149007,-23,-33,1.08,
10149045,0,-73,1.21,
10149046,7,-65,1.1,
10150001,-25,-60,1.01,
10150002,-2,-46,.99,
10150006,-66,-10,.83,
10150012,28,-18,.93,
10150016,-18,5,.8,
10150041,54,-2,.88,
10150044,64,20,.94,
10150045,-16,-16,.83,
10150047,-8,-14,.88,
10151002,-20,24,.89,
10151005,15,19,.88,
10151009,-48,-9,.94,
10151013,7,31,.8,
10151031,34,65,.9,
10151032,-41,3,.84,
10151035,-28,0,.92,
10151039,5,10,.94,
10152001,-9,45,.78,
10152006,-23,23,.83,
10152010,2,20,.94,
10152014,-14,34,.8,
10152034,-16,5,.98,
10153001,-11,-7,.87,
10153017,-15,2,.9,
10153021,70,24,.8,
10153026,-60,-12,.91,
10153030,-11,-29,.95,
10153053,-8,21,.8,
10154001,22,17,.8,
10154002,23,95,.84,
10154017,-15,5,.76,
10154049,-10,-41,.9,
10154050,52,69,.86,
10154066,-8,12,.95,
10155001,-39,-28,1.06,
10155017,-18,-32,.9,
10155034,-11,37,.85,
10155054,-47,12,.88,
10156002,-2,-3,.98,
10156006,-33,-31,.9,
10156033,13,28,.95,
10156037,14,32,.96,
10157001,29,14,.92,
10157002,-60,16,.88,
10157034,-24,57,.69,
10158001,0,-48,.8,
10158002,-2,-18,.8,
10158017,10,22,.6,
10158018,-60,25,.75,
10158021,-21,-9,.83,
10158026,-4,-6,.79,
10158029,2,-19,.78,
10158053,-1,-14,.77,
10159002,0,0,1,
10159017,0,0,1,
10159025,0,0,1,
10159033,0,0,1,
10159049,0,0,1,
10159066,0,0,1,
10159070,0,0,1,
10160018,-17,-2,.7,
10160022,-13,0,.69,
10160030,-18,3,.7,
10160033,31,19,.76,
10160034,-44,7,.77,
10160053,-15,-15,.73,
10160054,-15,11,.66,
10160070,-17,-3,.8,
10162001,-7,-14,.73,
10162018,8,-2,.8,
10162022,-3,7,.77,
10162026,-22,-17,.77,
10162029,-33,46,.56,
10162033,-4,2,.78,
10162049,-6,-37,.81,
10163002,-15,3,.78,
10163018,-6,30,.76,
10163026,0,44,.75,
10163030,-23,56,.76,
10163034,-10,1,.78,
10145019,22,-12,.86,
10145020,-8,-35,.86,
10137027,-75,-25,.66,
10137028,90,5,.67,
10137023,10,-31,.85,
10137024,90,-30,.84,
10108027,-15,-37,.95,
10108028,40,-20,.98,
10135009,-35,-40,.8,
10135010,0,-21,.8,
10163081,-90,10,.81,
10163084,-28,-20,.77,
10163087,-10,-10,.78,
10163090,0,-10,.79,
10164029,-10,-25,.8,
10107001,27,-51,1.01,
10163050,0,0,.78,
10164021,0,-14,.81,
10134017,-30,-23,.86,
10164001,0,-45,.89,
10164017,26,0,.85,
10164025,18,-10,.86,
10164033,-34,0,.79,
10165301,-6,32,.78,
10165302,0,-8,.75,
10165303,-6,18,.77,
10165304,0,21,.79,
10165089,-30,-7,.75,
10165114,0,21,.88,
10147046,0,-25,.83,
10166302,41,-34,.85,
10166040,0,0,.88,
10147052,0,-90,1.02,
10166037,0,-55,1,
10166021,-9,-31,.95,
10166029,31,2,.79,
10166038,0,0,1,
10166017,0,-15,.88,
10166301,25,20,.8,
10166056,0,0,.8,
10166104,0,-50,.93,
10166059,0,0,.7,
10166001,-65,-35,.95,
10166025,-35,0,.75,
10167001,-10,-25,.82,
10167041,10,-10,1,
10167301,10,-10,.8,
10167302,-10,-20,.75,
10168301,0,0,.76,
10168302,0,0,.8,
10168303,0,0,.76,
10168046,55,0,.7,
10168029,0,0,.73,
10168017,-15,0,.7,
10131041,-25,0,.8,
10131039,0,0,.8,
10168054,-15,0,.7,
10130051,0,0,.75,
10124015,0,0,.76,
10169301,0,-25,.75,
10169302,-15,-15,.87,
10169303,-45,-20,.76,
10169304,-30,0,.8,
10169305,-45,-15,.76,
10169306,40,-31,.76,
10169307,50,35,.76,
10169308,-45,30,.76,
10169001,-105,15,.73,
10169041,-28,31,.72,
10170307,0,-30,.8,
10170308,0,-30,.8,
10170301,0,-69,1.1,
10135001,-15,-9,.75,
10170053,-9,-71,.94,
10170017,-105,45,.9,
10170021,35,20,.9,
10170075,25,0,.7,
10170076,10,51,.67,
10170077,-75,-20,.65,
10170078,-55,10,.58,
10170079,85,-7,.68,
10116035,-85,-32,.9,
10170309,3,80,.75,
