# 2015年8月●水着シリーズ,
500,夏日红,50,51,,,,,,SPHR,1,15000010,,,,,,,
510,夏日蓝,52,53,,,,,,SPHR,1,15000050,,,,,,,
600,度假白,60,61,,,,,,SPHR,1,15000020,,,,,,,
610,度假黑,62,63,,,,,,SPHR,1,15000060,,,,,,,
700,比基尼蓝,70,71,,,,,,SPHR,1,15000030,,,,,,,
710,比基尼绿,72,73,,,,,,SPHR,1,15000070,,,,,,,
800,花边粉,80,81,,,,,,SPHR,1,15000040,,,,,,,
810,花边蓝,84,85,,,,,,SPHR,1,15000080,,,,,,,
1700,莫德雷德,170,171,172,173,,,,SPHR,1,15000090,,,,,,,
1800,马尔科,180,181,182,183,,,,SPHR,1,15000100,,,,,,,
1900,辉夜,190,191,192,,,,,SPHR,1,15000110,,,,,,,
2000,克莱尔,200,201,202,,,,,SPHR,1,15000120,,,,,,,
2900,莫德雷德(类型-R）,290,291,292,293,,,,SPHR,1,15000130,,,,,,,
3000,马尔科(白银骑士）,300,301,302,303,,,,SPHR,1,15000140,,,,,,,
3100,辉夜(月球公主）,310,311,312,,,,,SPHR,1,15000150,,,,,,,
3200,克莱尔（哥特）,320,321,322,,,,,SPHR,1,15000160,,,,,,,
1300,科学怪人,130,131,132,133,,,,SPHR,1,15000170,,,,,,,
1400,吸血鬼,140,141,142,143,,,,SPHR,1,15000180,,,,,,,
1500,魔法少女,150,151,152,153,,,,SPHR,1,15000190,,,,,,,
1600,粉红女巫,160,161,162,163,,,,SPHR,1,15000200,,,,,,,
900,热血运动魂,90,91,,,,,,SPHR,1,15000210,,,,,,,
1000,帝国青年,100,101,,,,,,SPHR,1,15000220,,,,,,,
1100,水手服警察,110,111,,,,,,SPHR,1,15000230,,,,,,,
1200,花样少女（小抒情曲）,120,121,,,,,,SPHR,1,15000240,,,,,,,
3300,热血运动魂(白）,330,331,,,,,,SPHR,1,15000250,,,,,,,
3400,帝国青年(白）,340,341,,,,,,SPHR,1,15000260,,,,,,,
3500,绀色水手服警察,350,351,,,,,,SPHR,1,15000270,,,,,,,
3600,花样少女（抒情曲）,360,361,,,,,,SPHR,1,15000280,,,,,,,
2100,托尼之王,210,211,212,,,,,SPHR,1,15000290,,,,,,,
2200,圣夜骑士,220,221,,,,,,SPHR,1,15000300,,,,,,,
2300,圣夜侠客,230,231,232,,,,,SPHR,1,15000310,,,,,,,
2400,圣夜天使,240,241,242,,,,,SPHR,1,15000320,,,,,,,
4500,托尼黑,450,451,452,,,,,SPHR,1,15000330,,,,,,,
4600,圣夜黑骑士,460,461,,,,,,SPHR,1,15000340,,,,,,,
4700,暗之圣夜侠客,470,471,472,,,,,SPHR,1,15000350,,,,,,,
4800,圣夜暗天使,480,481,482,,,,,SPHR,1,15000360,,,,,,,
3700,炎舞奏者,370,371,372,,,,,SPHR,1,15000370,,,,,,,
3800,雪华骑士,380,381,382,,,,,SPHR,1,15000380,,,,,,,
3900,桃色春姬,390,391,392,,,,,SPHR,1,15000390,,,,,,,
4000,桃色阿国,400,401,402,,,,,SPHR,1,15000400,,,,,,,
5300,冰雪奏者,530,531,532,,,,,SPHR,1,15000410,,,,,,,
5400,黑华骑士,540,541,542,,,,,SPHR,1,15000420,,,,,,,
5500,栗梅春姬,550,551,552,,,,,SPHR,1,15000430,,,,,,,
5600,堇色阿国,560,561,562,,,,,SPHR,1,15000440,,,,,,,
4100,恋爱巧克力绅士,410,411,412,414,,,,SPHR,1,15000450,,,,,,,
4200,恋爱巧克力点心师,420,422,,,,,,SPHR,1,15000460,,,,,,,
4300,恋爱巧克力侠客,430,431,432,,,,,SPHR,1,15000470,,,,,,,
4400,恋爱巧克力警察,440,441,,,,,,SPHR,1,15000480,,,,,,,
6200,恋爱巧克力紫绅士,620,621,622,623,,,,SPHR,1,15000490,,,,,,,
6300,恋爱巧克力黑点心师,630,632,,,,,,SPHR,1,15000500,,,,,,,
6400,空色恋爱巧克力侠客,640,641,642,,,,,SPHR,1,15000510,,,,,,,
6500,恋爱巧克力甜蜜警察,650,651,,,,,,SPHR,1,15000520,,,,,,,
2500,哥罗亚斯,250,251,252,253,,,,SPHR,1,15000530,,,,,,,
2600,伯纳德,260,261,262,,,,,SPHR,1,15000540,,,,,,,
2700,艾妮多,270,271,272,,,,,SPHR,1,15000550,,,,,,,
2800,橄榄石,280,281,282,,,,,SPHR,1,15000560,,,,,,,
7500,戈德罗伊斯,750,751,752,753,,,,SPHR,1,15000570,,,,,,,
7600,伯纳德(红骑士),760,761,762,,,,,SPHR,1,15000580,,,,,,,
7700,艾妮多(堕天使),770,771,772,,,,,SPHR,1,15000590,,,,,,,
7800,橄榄石(试作零号),780,781,782,,,,,SPHR,1,15000600,,,,,,,
6700,加荷里斯,670,671,672,,,,,SPHR,1,15000610,,,,,,,
6800,兰斯洛特,680,681,682,,,,,SPHR,1,15000620,,,,,,,
6900,多莫维依,690,691,692,,,,,SPHR,1,15000630,,,,,,,
7000,妮妙,700,702,,,,,,SPHR,1,15000640,,,,,,,
7100,加荷里斯（宣告士者）,710,711,712,,,,,SPHR,1,15000650,,,,,,,
7200,兰斯洛特（绯红骑士）,720,721,722,,,,,SPHR,1,15000660,,,,,,,
