#,
10111001,第一型高文,410001,10111001,
10111005,第一型加拉哈德,410002,10111005,
10111003,第一型兰斯洛特,410003,10111003,
10000018,第二型毕斯克拉乌莉特,410004,10000018,
10000052,制压型罗恩格林,410005,10000052,
10000056,制压型珀西瓦尔,410006,10000056,
10000068,特殊型罗艾娜,410007,10000068,
10000117,复元型乌瑟,410008,10000117,
10107009,第一型莫德雷德,410009,10107009,
10000151,虚无型永恒烈焰,410010,10000151,
10000164,制压型戈特弗里德,410011,10000164,
10001008,第二型库拉奇,410012,10001008,
10001014,第二型索尔,410013,10001014,
10000058,第二型艾力克,410014,10000058,
10000111,特异型小灰人,410015,10000111,
10143049,纯白型法莎莉雅,410101,10143049,
10143025,绅士型佣兵亚瑟,410102,10143026,
10161001,异界型 斋藤一,310001,10161001,
10161005,异界型 冲田总司,310002,10161005,
10161049,异界型 土方岁三＆风间千景,310003,10161049,
10161053,异界型 土方岁三,310004,10161053,
10161057,异界型 风间千景,310005,10161057,
10108027,华恋型白手伊索德,410201,10163081,
10137027,花月型爱丽丝,410202,10163084,
10145019,华装型永恒烈焰,410010,10163087,
10135009,逆行型索尔,410013,10163090,
10165113,异界型超越彩虹,310101,10165113,
10165001,异界型幸司＆广,310102,10165001,
10165009,异界型新＆路易,310103,10165009,
10165081,异界型一月＆大河,310104,10165081,
10165089,异界型 大和亚历山大,310105,10165089,















































































































































































































































































































































































































































































































































































































































































































































































