#称号ID,称号,表示枠,,,,同サポートカードID,入手条件,
#,,A,B,C,特,
#,10******：デフォルト,,,,,,,
#,**000000：ABC特枠 初期解放(空欄),,,,,,,
10000000,,1,1,1,1,,,
#,**10****：AC枠 初期解放(単語),,,,,,,
10100001,乖离性,1,,1,,,,
10100002,百万,1,,1,,,,
10100003,亚瑟,1,,1,,,,
10100004,百万亚瑟王,1,,1,,,,
10100005,佣兵,1,,1,,,,
10100006,富豪,1,,1,,,,
10100007,侠客,1,,1,,,,
10100008,歌姬,1,,1,,,,
#,**11****：AC枠 条件解放(Lv),,,,,,,
10110001,初学,1,,1,,,,
10110002,入门,1,,1,,,,
10110003,熟练,1,,1,,,,
10110004,精通,1,,1,,,,
#,**12****：AC枠 条件解放(累計Login),,,,,,,
10120001,玩家,1,,1,,,,
10120002,早上,1,,1,,,,
10120003,中午,1,,1,,,,
10120004,夜晚,1,,1,,,,
10120005,努力,1,,1,,,,
10120006,可爱,1,,1,,,,
10120007,帅气,1,,1,,,,
10120008,开心,1,,1,,,,
10120009,有趣,1,,1,,,,
10120010,高兴,1,,1,,,,
10120011,喜欢,1,,1,,,,
10120012,不擅长,1,,1,,,,
10120013,圣剑,1,,1,,,,
10120014,王者之剑,1,,1,,,,
10120015,100万,1,,1,,,,
10120016,一年级,1,,1,,,,
10120017,二年级,1,,1,,,,
10120018,成千上万,1,,1,,,,
10120019,三年级,1,,1,,,,
10120020,四年级,1,,1,,,,
10120021,五年级,1,,1,,,,
10120022,六年级,1,,1,,,,
#,**13****：AC枠 条件解放(クエスト),,,,,,,
10130001,单人,1,,1,,,,
10130002,据点,1,,1,,,,
10130003,战斗,1,,1,,,,
10130004,副本,1,,1,,,,
10130005,挑战,1,,1,,,,
10130006,探索,1,,1,,,,
10130007,卡牌,1,,1,,,,
10130008,强化,1,,1,,,,
10130009,进化,1,,1,,,,
10130010,卡组,1,,1,,,,
10130011,好友,1,,1,,,,
10130012,商店,1,,1,,,,
10130013,水晶,1,,1,,,,
10130014,仓库,1,,1,,,,
10130015,交换所,1,,1,,,,
10130016,扭蛋,1,,1,,,,
#,**14****：AC枠 条件解放(マルチ),,,,,,,
10140001,大家,1,,1,,,,
10140002,朋友,1,,1,,,,
10140003,同事,1,,1,,,,
10140004,上司,1,,1,,,,
10140005,部下,1,,1,,,,
10140006,部长,1,,1,,,,
10140007,社长,1,,1,,,,
10140008,无业,1,,1,,,,
10140009,打杂,1,,1,,,,
10140010,洗盘子,1,,1,,,,
10140011,仆人,1,,1,,,,
10140012,队长,1,,1,,,,
#,**15****：AC枠 条件解放(ホスト),,,,,,,
10150001,捧哏,1,,1,,,,
10150002,逗哏,1,,1,,,,
10150003,好笑,1,,1,,,,
10150004,滑了,1,,1,,,,
10150005,搞笑,1,,1,,,,
10150006,逗我！,1,,1,,,,
#,**16****：AC枠 条件解放(強化合成),,,,,,,
10160001,我,1,,1,,,,
10160002,小的,1,,1,,,,
10160003,老子,1,,1,,,,
