#NAVI_ID,初心者ボーナス,,日替わりボーナス,,通算ボーナス,,クエスト受注,,クエストクリア,
#,group,index,group,index,group,index,group,index,group,index,
0,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
1,tap_body,5,tap_body,7,game_restart,1,game_restart,2,game_restart,1,
2,tap_body,5,tap_body,7,game_restart,1,game_restart,2,game_restart,1,
3,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
4,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
5,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
6,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
7,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
8,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
9,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
10,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
11,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
12,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
13,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
14,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
15,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
16,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
17,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
18,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
19,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
20,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
21,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
22,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
23,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
24,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
25,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
26,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
27,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
28,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
29,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
30,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
31,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
32,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
33,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
34,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
35,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
36,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
37,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
38,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
39,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
40,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
41,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
42,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
43,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
44,game_restart,4,game_restart,0,tap_body,0,game_restart,2,game_restart,1,
