#ID,共通,敵1,,,敵2,,,敵3,,,敵4,,,BGM,背景,ヒント,
#,配置データ名,enemyid,HP倍率,親番号,enemyid,HP倍率,親番号,enemyid,HP倍率,親番号,enemyid,HP倍率,親番号,BGMID,背景ID,ヒントID,


10000101,,10000101,,,,,,,,,,,,10020,1000,,
10000102,,10000102,,,,,,,,,,,,10020,1000,,
10000103,,10000103,,,,,,,,,,,,10020,1000,,
10000104,,10000101,,,10000101,,,,,,,,,10020,1000,,
10000105,,10000102,,,10000102,,,,,,,,,10020,1000,,
10000106,,10000103,,,10000103,,,,,,,,,10020,1000,,
10000107,,10000101,,,10000102,,,,,,,,,10020,1000,,
10000108,,10000102,,,10000103,,,,,,,,,10020,1000,,
10000109,,10000103,,,10000101,,,,,,,,,10020,1000,,
10000110,,10000101,,,10000103,,,10000101,,,,,,10110,1000,,
10000111,,10000101,,,10000102,,,10000103,,,,,,10110,1000,,
10000112,,10000104,,,,,,,,,,,,10110,1000,,
,,,,,,,,,,,,,,,,,
10000201,,10000201,,,,,,,,,,,,10040,3000,,
10000202,,10000202,,,,,,,,,,,,10040,3000,,
10000203,,10000203,,,,,,,,,,,,10040,3000,,
10000204,,10000201,,,10000201,,,,,,,,,10040,3000,,
10000205,,10000202,,,10000202,,,,,,,,,10040,3000,,
10000206,,10000203,,,10000203,,,,,,,,,10040,3000,,
10000207,,10000201,,,10000202,,,,,,,,,10040,3000,,
10000208,,10000202,,,10000203,,,,,,,,,10040,3000,,
10000209,,10000203,,,10000201,,,,,,,,,10040,3000,,
10000210,,10000201,,,10000202,,,10000201,,,,,,10130,3000,,
10000211,,10000201,,,10000202,,,10000203,,,,,,10130,3000,,
10000212,,10000204,,,,,,,,,,,,10130,3000,,
,,,,,,,,,,,,,,,,,
10000301,,10000301,,,,,,,,,,,,10030,2000,,
10000302,,10000302,,,,,,,,,,,,10030,2000,,
10000303,,10000303,,,,,,,,,,,,10030,2000,,
10000304,,10000301,,,10000301,,,,,,,,,10030,2000,,
10000305,,10000302,,,10000302,,,,,,,,,10030,2000,,
10000306,,10000303,,,10000303,,,,,,,,,10030,2000,,
10000307,,10000301,,,10000302,,,,,,,,,10030,2000,,
10000308,,10000302,,,10000303,,,,,,,,,10030,2000,,
10000309,,10000303,,,10000301,,,,,,,,,10030,2000,,
10000310,,10000302,,,10000301,,,10000302,,,,,,10120,2000,,
10000311,,10000301,,,10000302,,,10000303,,,,,,10120,2000,,
10000312,,10000304,,,,,,,,,,,,10120,2000,,
,,,,,,,,,,,,,,,,,
10000401,,10000401,,,10000405,,,,,,,,,10050,6000,,
10000402,,10000402,,,10000406,,,,,,,,,10050,6000,,
10000403,,10000403,,,10000404,,,,,,,,,10050,6000,,
10000404,,10000407,,,10000401,,,,,,,,,10050,6000,,
10000405,,10000407,,,10000402,,,,,,,,,10050,6000,,
10000406,,10000407,,,10000403,,,,,,,,,10050,6000,,
10000407,,10000408,,,10000401,,,,,,,,,10050,6000,,
10000408,,10000408,,,10000402,,,,,,,,,10050,6000,,
10000409,,10000408,,,10000403,,,,,,,,,10050,6000,,
10000410,,10000401,,,10000407,,,10000406,,,,,,10140,6000,,
10000411,,10000402,,,10000408,,,10000405,,,,,,10140,6000,,
10000412,,10000409,,,10000410,,1,,,,,,,10140,6000,,
,,,,,,,,,,,,,,,,,
10000501,,10000501,,,10000505,,,,,,,,,10071,5000,,
10000502,,10000502,,,10000506,,,,,,,,,10071,5000,,
10000503,,10000503,,,10000504,,,,,,,,,10071,5000,,
10000504,,10000507,,,10000501,,,,,,,,,10071,5000,,
10000505,,10000507,,,10000502,,,,,,,,,10071,5000,,
10000506,,10000507,,,10000503,,,,,,,,,10071,5000,,
10000507,,10000509,,,10000501,,,,,,,,,10071,5000,,
10000508,,10000509,,,10000502,,,,,,,,,10071,5000,,
10000509,,10000509,,,10000503,,,,,,,,,10071,5000,,
10000510,,10000508,,,,,,,,,,,,10071,5000,,
10000511,,10000501,,,10000507,,,10000506,,,,,,10160,5000,,
10000512,,10000503,,,10000509,,,10000505,,,,,,10160,5000,,
10000513,,10000510,,,10000511,,1,,,,,,,10160,5000,,
,,,,,,,,,,,,,,,,,
10000601,,10000601,,,10000607,,,,,,,,,10060,4000,,
10000602,,10000602,,,10000608,,,,,,,,,10060,4000,,
10000603,,10000603,,,10000606,,,,,,,,,10060,4000,,
10000604,,10000604,,,10000606,,,,,,,,,10060,4000,,
10000605,,10000604,,,10000607,,,,,,,,,10060,4000,,
10000606,,10000604,,,10000608,,,,,,,,,10060,4000,,
10000607,,10000605,,,,,,,,,,,,10060,4000,,
10000608,,10000605,,,10000606,,,,,,,,,10060,4000,,
10000609,,10000605,,,10000607,,,,,,,,,10060,4000,,
