#,,,,,,,,,ターン数,敵の残HP,アーサーの死亡,カードID,カードレベル,ターゲット,ターン1,ターン2,ターン3,ターン4,ターン5,ターン6,ターン7,ターン8,ターン9,ターン10,
0,0,0,30000201,0,0,,,1,0,0,0,10000230,1,ENEMY_RANDOM,1,1,0,0,0,0,0,0,0,0,
#第1部第0章,
11000101,1,1,50001010,10000,1000,3,,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#第1部第1章,
#1章チャプター1,
11010001,0,0,50101010,1000,1000,3,,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11010002,0,0,50101020,1000,1000,3,,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#1章チャプター5,
11010501,0,0,50106010,8000,8000,3,,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11010502,0,0,50106020,8000,8000,3,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
#1章チャプター6,
11010601,0,0,50107010,8000,8000,3,,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11010602,0,0,50107020,8000,8000,5,,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#1章チャプター7,
11010701,0,0,50108010,8000,8000,3,,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11010702,0,0,50108020,8000,8000,5,,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11010703,0,0,50108030,8000,8000,5,,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11010704,0,0,50108040,8000,8000,5,,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#第1部第2章,
#2章チャプター5,
50205010,0,0,50205010,3000,3000,3,,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50205020,0,0,50205020,3000,3000,5,,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#2章チャプター7,
50207010,0,0,50207010,3000,3000,3,,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50207020,0,0,50207020,3000,3000,5,,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#2章チャプター8,
50208010,0,0,50208010,3000,3000,3,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50208020,0,0,50208020,3000,3000,5,,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#第1部第3章,
#3章チャプター6,
50306010,0,0,50306010,1000,1000,3,,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50306020,0,0,50306020,1000,1000,5,,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#3章チャプター7,
50307010,0,0,50307010,1000,1000,3,,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50307020,0,0,50307020,1000,1000,5,,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50307030,0,0,50307030,1000,1000,5,,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#第1部第4章,
#4章チャプター4,
50404010,0,0,50404010,4000,4000,3,,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50404020,0,0,50404020,4000,4000,5,,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
